Centroid X µm,Centroid Y µm,Image,Leiden Cluster Label,cluster_color
3222.7,7321.1,test_image,10,#ffbb78
3343.3,7322.5,test_image,10,#ffbb78
3171.8,7322.8,test_image,1,#ff7f0e
3161.7,7322.2,test_image,7,#b5bd61
3180.0,7324.5,test_image,10,#ffbb78
3313.9,7326.0,test_image,10,#ffbb78
3146.3,7327.1,test_image,1,#ff7f0e
3154.1,7327.1,test_image,1,#ff7f0e
3234.8,7328.1,test_image,1,#ff7f0e
3322.7,7328.9,test_image,5,#8c564b
3201.5,7329.6,test_image,6,#e377c2
3140.4,7330.2,test_image,1,#ff7f0e
3334.6,7329.5,test_image,1,#ff7f0e
3159.6,7332.4,test_image,7,#b5bd61
3246.7,7332.7,test_image,7,#b5bd61
3256.2,7334.3,test_image,5,#8c564b
3293.3,7333.8,test_image,5,#8c564b
3333.3,7335.9,test_image,7,#b5bd61
3312.0,7336.0,test_image,1,#ff7f0e
3207.6,7337.3,test_image,1,#ff7f0e
3236.8,7337.9,test_image,1,#ff7f0e
3168.0,7337.1,test_image,7,#b5bd61
3154.5,7339.9,test_image,10,#ffbb78
3336.3,7340.8,test_image,7,#b5bd61
3312.3,7341.9,test_image,1,#ff7f0e
3203.8,7342.9,test_image,1,#ff7f0e
3291.6,7342.8,test_image,10,#ffbb78
3172.3,7343.5,test_image,7,#b5bd61
3256.0,7344.4,test_image,1,#ff7f0e
3178.4,7346.1,test_image,10,#ffbb78
3468.1,7041.7,test_image,0,#1f77b4
3423.6,7041.7,test_image,8,#17becf
3437.7,7045.5,test_image,8,#17becf
3490.7,7046.1,test_image,0,#1f77b4
3527.7,7047.2,test_image,0,#1f77b4
3541.2,7050.0,test_image,10,#ffbb78
3357.8,7049.7,test_image,3,#d62728
3453.0,7050.8,test_image,11,#98df8a
3419.2,7053.8,test_image,0,#1f77b4
3503.6,7053.1,test_image,0,#1f77b4
3367.0,7055.4,test_image,3,#d62728
3519.7,7056.0,test_image,0,#1f77b4
3472.3,7056.5,test_image,0,#1f77b4
3382.3,7056.6,test_image,3,#d62728
3458.8,7058.1,test_image,0,#1f77b4
3560.1,7057.8,test_image,8,#17becf
3578.0,7057.7,test_image,0,#1f77b4
3494.6,7059.5,test_image,0,#1f77b4
3357.1,7060.4,test_image,3,#d62728
3505.3,7063.9,test_image,0,#1f77b4
3424.2,7064.1,test_image,0,#1f77b4
3446.2,7064.1,test_image,0,#1f77b4
3565.3,7066.9,test_image,0,#1f77b4
3389.8,7067.3,test_image,11,#98df8a
3414.1,7067.9,test_image,0,#1f77b4
3489.8,7069.7,test_image,0,#1f77b4
3584.2,7070.5,test_image,0,#1f77b4
3570.0,7072.6,test_image,8,#17becf
3498.8,7075.3,test_image,0,#1f77b4
3508.6,7075.4,test_image,11,#98df8a
3481.4,7075.8,test_image,0,#1f77b4
3395.8,7075.6,test_image,0,#1f77b4
3351.5,7075.6,test_image,3,#d62728
3429.9,7075.6,test_image,11,#98df8a
3362.7,7076.8,test_image,3,#d62728
3386.9,7077.2,test_image,3,#d62728
3403.5,7077.4,test_image,0,#1f77b4
3413.4,7078.3,test_image,0,#1f77b4
3440.5,7077.8,test_image,0,#1f77b4
3593.4,7078.9,test_image,8,#17becf
3530.9,7079.2,test_image,0,#1f77b4
3577.0,7080.3,test_image,8,#17becf
3558.8,7084.3,test_image,8,#17becf
3534.0,7085.9,test_image,0,#1f77b4
3574.5,7088.4,test_image,8,#17becf
3481.7,7089.6,test_image,0,#1f77b4
3433.2,7090.1,test_image,0,#1f77b4
3406.0,7092.1,test_image,0,#1f77b4
3552.9,7092.1,test_image,0,#1f77b4
3460.0,7092.4,test_image,0,#1f77b4
3353.3,7092.5,test_image,11,#98df8a
3567.2,7093.7,test_image,8,#17becf
3389.0,7092.9,test_image,3,#d62728
3541.5,7097.0,test_image,0,#1f77b4
3365.6,7094.7,test_image,3,#d62728
3574.2,7098.2,test_image,0,#1f77b4
3467.2,7099.6,test_image,10,#ffbb78
3512.6,7100.6,test_image,0,#1f77b4
3477.3,7100.9,test_image,0,#1f77b4
3553.3,7104.2,test_image,8,#17becf
3391.9,7106.3,test_image,3,#d62728
3430.6,7106.0,test_image,0,#1f77b4
3593.4,7106.6,test_image,0,#1f77b4
3357.7,7106.9,test_image,3,#d62728
3475.9,7107.6,test_image,11,#98df8a
3485.4,7107.0,test_image,0,#1f77b4
3582.1,7107.2,test_image,0,#1f77b4
3349.3,7110.8,test_image,3,#d62728
3450.6,7111.5,test_image,0,#1f77b4
3423.7,7111.8,test_image,10,#ffbb78
3368.2,7113.1,test_image,3,#d62728
3575.3,7113.6,test_image,0,#1f77b4
3532.3,7113.0,test_image,0,#1f77b4
3559.8,7112.6,test_image,8,#17becf
3403.1,7114.1,test_image,0,#1f77b4
3483.3,7115.7,test_image,0,#1f77b4
3472.6,7115.8,test_image,0,#1f77b4
3551.9,7116.1,test_image,8,#17becf
3509.9,7117.0,test_image,0,#1f77b4
3385.3,7117.1,test_image,11,#98df8a
3416.0,7117.0,test_image,11,#98df8a
3439.6,7117.8,test_image,0,#1f77b4
3565.6,7118.4,test_image,8,#17becf
3353.8,7118.9,test_image,10,#ffbb78
3593.5,7120.2,test_image,0,#1f77b4
3424.1,7122.0,test_image,11,#98df8a
3406.7,7122.5,test_image,0,#1f77b4
3544.6,7123.6,test_image,0,#1f77b4
3378.8,7123.5,test_image,3,#d62728
3523.0,7124.6,test_image,0,#1f77b4
3358.7,7125.9,test_image,8,#17becf
3457.3,7125.6,test_image,0,#1f77b4
3433.9,7125.9,test_image,0,#1f77b4
3595.7,7126.1,test_image,0,#1f77b4
3472.6,7127.6,test_image,0,#1f77b4
3513.0,7129.1,test_image,0,#1f77b4
3412.3,7129.0,test_image,11,#98df8a
3427.8,7130.0,test_image,3,#d62728
3496.7,7130.0,test_image,0,#1f77b4
3382.1,7130.9,test_image,3,#d62728
3554.6,7130.4,test_image,0,#1f77b4
3398.5,7130.2,test_image,0,#1f77b4
3357.5,7132.6,test_image,11,#98df8a
3592.4,7134.0,test_image,0,#1f77b4
3463.4,7134.7,test_image,0,#1f77b4
3445.5,7134.0,test_image,0,#1f77b4
3572.4,7133.4,test_image,3,#d62728
3541.3,7135.5,test_image,0,#1f77b4
3528.0,7136.3,test_image,0,#1f77b4
3385.2,7138.0,test_image,3,#d62728
3396.4,7138.5,test_image,3,#d62728
3415.1,7138.3,test_image,0,#1f77b4
3352.6,7138.2,test_image,3,#d62728
3472.4,7139.2,test_image,0,#1f77b4
3429.9,7139.3,test_image,10,#ffbb78
3563.0,7139.7,test_image,0,#1f77b4
3380.3,7140.2,test_image,11,#98df8a
3454.7,7143.4,test_image,0,#1f77b4
3541.9,7143.9,test_image,0,#1f77b4
3570.2,7145.4,test_image,0,#1f77b4
3443.1,7145.4,test_image,0,#1f77b4
3533.0,7146.6,test_image,0,#1f77b4
3520.2,7146.1,test_image,0,#1f77b4
3415.6,7146.1,test_image,0,#1f77b4
3483.5,7148.2,test_image,0,#1f77b4
3431.6,7152.3,test_image,0,#1f77b4
3368.1,7151.4,test_image,3,#d62728
3417.9,7152.2,test_image,0,#1f77b4
3582.5,7154.7,test_image,0,#1f77b4
3398.8,7155.0,test_image,0,#1f77b4
3457.6,7155.8,test_image,0,#1f77b4
3477.7,7157.3,test_image,0,#1f77b4
3391.4,7158.2,test_image,3,#d62728
3488.1,7160.1,test_image,11,#98df8a
3449.7,7159.8,test_image,0,#1f77b4
3414.8,7160.8,test_image,10,#ffbb78
3527.1,7162.1,test_image,0,#1f77b4
3557.4,7162.6,test_image,0,#1f77b4
3497.8,7163.0,test_image,0,#1f77b4
3370.0,7166.6,test_image,3,#d62728
3548.6,7167.0,test_image,0,#1f77b4
3538.9,7166.7,test_image,0,#1f77b4
3406.3,7168.1,test_image,0,#1f77b4
3468.1,7168.9,test_image,0,#1f77b4
3450.7,7170.2,test_image,0,#1f77b4
3571.0,7169.6,test_image,0,#1f77b4
3383.4,7170.5,test_image,11,#98df8a
3435.2,7170.6,test_image,0,#1f77b4
3518.6,7172.2,test_image,0,#1f77b4
3494.8,7172.5,test_image,0,#1f77b4
3561.3,7172.7,test_image,0,#1f77b4
3585.2,7174.2,test_image,11,#98df8a
3411.0,7176.2,test_image,0,#1f77b4
3354.5,7176.1,test_image,3,#d62728
3392.3,7176.5,test_image,3,#d62728
3484.8,7177.3,test_image,0,#1f77b4
3532.6,7179.7,test_image,0,#1f77b4
3578.8,7180.1,test_image,3,#d62728
3400.8,7181.0,test_image,0,#1f77b4
3513.4,7181.5,test_image,0,#1f77b4
3501.7,7182.1,test_image,0,#1f77b4
3421.6,7182.4,test_image,11,#98df8a
3385.6,7184.6,test_image,8,#17becf
3474.5,7187.0,test_image,0,#1f77b4
3567.5,7188.0,test_image,0,#1f77b4
3363.1,7189.2,test_image,11,#98df8a
3457.3,7190.2,test_image,0,#1f77b4
3536.6,7191.3,test_image,0,#1f77b4
3518.7,7194.5,test_image,0,#1f77b4
3575.1,7195.0,test_image,0,#1f77b4
3465.4,7195.6,test_image,3,#d62728
3386.0,7195.4,test_image,0,#1f77b4
3407.2,7196.2,test_image,8,#17becf
3505.8,7196.4,test_image,8,#17becf
3544.4,7196.5,test_image,0,#1f77b4
3371.9,7198.0,test_image,3,#d62728
3486.7,7199.1,test_image,0,#1f77b4
3423.6,7199.6,test_image,8,#17becf
3552.2,7200.6,test_image,0,#1f77b4
3415.8,7202.7,test_image,8,#17becf
3457.7,7203.3,test_image,0,#1f77b4
3359.1,7203.7,test_image,3,#d62728
3530.0,7204.2,test_image,0,#1f77b4
3497.3,7204.4,test_image,8,#17becf
3507.1,7204.4,test_image,2,#279e68
3389.5,7204.6,test_image,3,#d62728
3574.2,7204.8,test_image,0,#1f77b4
3483.4,7206.4,test_image,0,#1f77b4
